%time,field.header.seq,field.header.stamp,field.header.frame_id,field.waypoint,field.q0,field.q1,field.q2,field.q3,field.q4,field.q5,field.acc,field.vel,field.totaltime,field.round
1454587896012004138,146,1454587896011816541,,146,2.23466477602,-1.5460873548,0.00435127531546,-2.35700024776,-1.56936535348,0.461151224102,3.0,0.75,0.008,0.0
1454587896020005886,147,1454587896019821881,,147,2.23463057612,-1.54620896712,0.00418897361412,-2.35579067809,-1.56937918597,0.461186461069,3.0,0.75,0.008,0.0
1454587896028192178,148,1454587896027953687,,148,2.23459440475,-1.5463444411,0.00402981292564,-2.35458387648,-1.56939291165,0.461222939349,3.0,0.75,0.008,0.0
1454587896036164285,149,1454587896035916077,,149,2.23456599945,-1.54645504912,0.00391252360839,-2.35368081664,-1.56940314082,0.46125109698,3.0,0.75,0.008,0.0
1454587896044251834,150,1454587896043989808,,150,2.23452644679,-1.54661439822,0.00375893515767,-2.35247975736,-1.56941669935,0.461289684431,3.0,0.75,0.008,0.0
1454587896052251179,151,1454587896051992411,,151,2.23448500296,-1.54678715774,0.00360856464852,-2.3512824903,-1.5694301731,0.461329440234,3.0,0.75,0.008,0.0
1454587896060350038,152,1454587896060068238,,152,2.23444169902,-1.54697314894,0.00346143028301,-2.35008938527,-1.56944356945,0.461370336997,3.0,0.75,0.008,0.0
1454587896068305076,153,1454587896068061469,,153,2.23439656691,-1.54717218561,0.00331754545898,-2.34890081067,-1.56945689546,0.461412346901,3.0,0.75,0.008,0.0
1454587896076412481,154,1454587896076188123,,154,2.23434963952,-1.54738407429,0.00317691901588,-2.34771713347,-1.56947015788,0.461455441725,3.0,0.75,0.008,0.0
1454587896084589461,155,1454587896084224032,,155,2.23430095058,-1.54760861453,0.00303955547259,-2.34653871918,-1.56948336307,0.461499592865,3.0,0.75,0.008,0.0
1454587896092419680,156,1454587896092240301,,156,2.23425053468,-1.54784559905,0.00290545525739,-2.34536593181,-1.5694965171,0.461544771356,3.0,0.75,0.008,0.0
1454587896100461103,157,1454587896100289747,,157,2.23419842723,-1.54809481405,0.00277461493,-2.34419913382,-1.56950962569,0.461590947889,3.0,0.75,0.008,0.0
1454587896108707553,158,1454587896108483416,,158,2.23415825831,-1.54828961933,0.0026786198496,-2.343328183,-1.56951943055,0.461626217444,3.0,0.75,0.008,0.0
1454587896116748600,159,1454587896116504767,,159,2.23410327822,-1.54855970418,0.00255346517341,-2.34217273375,-1.56953247234,0.461674069081,3.0,0.75,0.008,0.0
1454587896124826321,160,1454587896124567533,,160,2.23404670793,-1.54884139946,0.00243154269978,-2.34102426221,-1.56954548265,0.461722836574,3.0,0.75,0.008,0.0
